review,predicted_sentiment
It is showing unffourtunately myWorldLink has stooped very bad sercvice,NEGATIVE
It is satisfied internet provider network,POSITIVE
good work,POSITIVE
Unable to edit account details. Very poor app with no special features.,NEGATIVE
SOME IT SPEED IS SO BAD ONLY 1 PERSON USING THAN ALSO SO PLEASE FIX IT FAST AS SOON AS POSSIBLE,NEGATIVE
Worst service! It doesn't open,NEGATIVE
Yo net vanda fast tw BRDM nai chalxa hola😡 Sab ko Paisa khayera BMW kinya holas,NEGATIVE
This app is not taking action seriously,NEGATIVE
The app keeps crashing every time,NEGATIVE
i dont like your internet service,NEGATIVE
The site says i have 600mb remaining the app shows 0gb remaining..  Why doesnt it match?,NEGATIVE
This app too slow even not working.. every time i try to change password and blacklist to other cell there is a problems....,NEGATIVE
can't see connected devices,NEGATIVE
worst app and worst customer service experience ever..... Never use this app and their connection......,NEGATIVE
Worst internet ever Never use this network,NEGATIVE
Net Banda vayo.ganga7 ujarnemko.banaedinuna,NEGATIVE
ᴺᵒᵗ ˢᵃᵗⁱˢᶠⁱᵉᵈ 200 ᵐᵇᵖˢ ᵍⁱᵛᵉⁿ ᵃʳᵒᵘⁿᵈ 50 ᵗᵒ 60 ᵐᵇᵖˢ ˢˡᵒʷ ⁿᵉᵗʷᵒʳᵏ ˢᵉʳᵛⁱᶜᵉ .,POSITIVE
Very bad experience! I paid for 30mbps but they prove 510kbps. What a shame!,NEGATIVE
why keep account related query feature just for my queries to be ignored,NEGATIVE
Do not connection to worldlink wifi This network are very froud network any time connection to 25 mpbs speed and buy purchase 200 mpbs speed not connection this connection are very froud network not any people,NEGATIVE
Fastest internet bhanera matra kngarnu calnu pani paro ni gatilo sanga...... Very disappointed for gaming purpose...,NEGATIVE
Hey worldlink your customer service is very dissapointing i call to the customer service but they didnt recieve it. Very useless,NEGATIVE
This app doesn't work properly,POSITIVE
I had recharge my router on dashain offer with television pack but If we ask for the connection on TV .All the working staff says the setup box is sourtage of net t.v and its been 3 week and no any call and nothing else . I have humble request plz make your customer service effective,NEGATIVE
Gu jasto net xya xya.. worldlink kai app chalauna ni data tannu prya xa,NEGATIVE
I am not able to open app after updating. Now how can i change my wifi password. We cant even ascess to ip adress of router given by you. same on you worldlink.,NEGATIVE
Worst one,NEGATIVE
This app is very bad this cannot work any time to open,NEGATIVE
"Lado jasto laaag hune app...app develop twa gar muzee haru...nepali janata 
ko paisa matra khana khojne...lado haru.",NEGATIVE
Bad network service,NEGATIVE
"Can be improved. When the internet goes down, the support section in the app doesn't work. How can we create complaints.",NEGATIVE
I want give this app zero rating,NEGATIVE
"This app is very lag please make smoth this app , thanks",POSITIVE
Good app... But its really slow to load up the speedtest... Otherwise its a good one to followup for my internet connection.,POSITIVE
Can u please make yrs net problem fix I can't play online games properly 50 ma chalira hunxan sudently 300_400 ping ma pugxa fix it _worldlink_,NEGATIVE
Hawa WiFi first tira matra ramro chalxa paxi hudai Gaye paxi khatte ho,NEGATIVE
worse internet and service,NEGATIVE
Bad service Mirchaiya brance,NEGATIVE
How to use this app?,NEGATIVE
Bakk mugi,NEGATIVE
Very boring internet service it is waste of money very slow and short area range .it show the running speed is 50mbps but not working properly,NEGATIVE
Chutiya Net🙄🙄🙄🙄 Bihana dekhi Chalexaina 🙄🙄🙄 Sasto Net🙄,NEGATIVE
Data Usage of Individual Devices on Network how to check?,NEGATIVE
Net stable vayena,NEGATIVE
Niye,POSITIVE
Very easy to change password.,NEGATIVE
"Very poor apps, too slow to load, password r not showing, need to maintain a lot of functions. Very bad experience.",NEGATIVE
So bad internet🙁💩 not good service,NEGATIVE
Don't stop net in night dam I was playing game that time.,NEGATIVE
How to block user...,NEGATIVE
Doesn't open,POSITIVE
Worst wifi network of nepal...slogan should be corrected.. Instead of faster network... You guys should write slowest network...🤬🤬🤬🤬,NEGATIVE
The wifi is not good,POSITIVE
this apps didn't even help to change wifi pw....I just used for saw validity,NEGATIVE
it's useful 😄,POSITIVE
Yp kaam chains worldlink ko slow bhayera thait paisa matra gyo,NEGATIVE
Bugs in whole app can't see connected devices and even can not change password,NEGATIVE
Khattam service.. Thukka,POSITIVE
Most of the time app freezes in splash screen. Worthless app. If there's an option to give negative rating I would be happy to rate it in negative 😆,NEGATIVE
One of best,POSITIVE
Not working properly.....,POSITIVE
good and useful,POSITIVE
"OMG, I'm still amazed that who built this kind of rubbish app. There is no response for verification.... WHY???",NEGATIVE
"Device filtering is straight up garbage, it used to work fine before the update. Now the both black listed and white listed fucntion doesn't work.",NEGATIVE
Right now My worldlink app is not working when i open it. It simly say that no internet connection I want my app run properly,POSITIVE
Worldlink app is not working,POSITIVE
Should add hide SSID option,NEGATIVE
"Useful app , thanks world link",POSITIVE
"This app does not work on my device. Whenever I open the app, it closed after few seconds.",NEGATIVE
I have a WiFi connected and I am just worried bcz sometimes they were decreasing the connection power specially night time. I am regret to connect this WiFi I better use mobile data. Hate it,NEGATIVE
😡😡😠😠😬😬😬💩💩👎👎👎,NEGATIVE
Please do not connect this internet I am one of the oldest user I have such bad internet connection for a long while they will tell you they have fixed but it doesn't work after few minutes it became like before before it was good but currently it is terrifying they don't care the customer nowadays no good conversation no working idea communication problem,NEGATIVE
Awesome,POSITIVE
Why world link is working slow in game in youtube,NEGATIVE
It is a nice app,POSITIVE
So bad internet🙁💩 not good service,NEGATIVE
App not working on my mobile,POSITIVE
Good application its easy to control,POSITIVE
Its fake. Please do not download this app. Just wasting your data and time.,NEGATIVE
The block websites option doesn't work,NEGATIVE
Not giving speed as said in package 😞😞😓😓,NEGATIVE
"Very slow , uploading and submit process is very slow",NEGATIVE
"If negative ratings were a thing, worldlink would definitely get one....what poor service! They say they provide you 140 mbps of net..and what u get is buffering option every damn time...the net is slow as a snail. Would not recommend anyone to get worldlink connected.",NEGATIVE
Jot Ko Wifi Ho Jhatha Short Range Ma Ni Chaldaina Poisha Matra Manga Time Ma Msg Garxa Tara Net Chaldaina Vano Vane Haina Sir Tyo Ekxin Matra Ho Vanxa Khatey Hru Dhilo Vanekai Worldlink 😡😡😡😡,NEGATIVE
Poor service,NEGATIVE
nowadays worldlink has become the worst net for online gaming.lags a lot.,NEGATIVE
Alallala thik xa ni net tw,NEGATIVE
best for wi-fi password changer app,POSITIVE
3 days without internet. Worst service ever,NEGATIVE
already contacted via official website but still the same problem. This problem occured after I updated this app.,NEGATIVE
Just hell slow,NEGATIVE
why doesn't show connected devices at all ? Device filtering is not working.,NEGATIVE
Purano version ramro thiyo. Update pachi bekamme bhayechha. Password pani change garna mildaina ani pura slow bhayechha. Hang hunchha. Uninstall garchu aba kehi sudhar bhayena bhane. Useless app bhayechha aba ta.,NEGATIVE
It will be easy for us . If you will provide us our own router admin username and password and it's our right too as a user. And thiss app sucks a lot,NEGATIVE
Excellent work,POSITIVE
NEPAL WORST LESS NET EVER 🤢🤢🤢🤮🤮🤮🤮,NEGATIVE
Exceptional,POSITIVE
Not so mch friendly. Device filtering and connected devices should have feature of adding Names. And its so slow to see the connected devices. Sometimes it doesnt even show connected devices,NEGATIVE
Best isp and its helpful app,POSITIVE
This companies net sucks plus this app Yo net xw vaney arko change garnuss yo net naraknu,NEGATIVE
10+ vulnerabilites still not fixed despite many reports,NEGATIVE
I can't even open the app to change password,NEGATIVE
"Wifi kati saro slow xa yoi ho ""छिटो भनेकै WORLDLDINK"" ? yeslai implement gareko xa ki xaina?",NEGATIVE
Now is better than before,POSITIVE
Installation is too fast but the internet and uninstalled too slow. Service not go at all.,NEGATIVE
Network is so slow I don't like it,NEGATIVE
Very good internet service provider 😀,POSITIVE
Worst customer service .. just go to hell world link esp narayangarh brach ... stuck and no service since three days and no response .. DONT EVER opt for world link if you want steady network and amiable customer servicee and repairment of the problems arose 🤬🤬🤬,NEGATIVE
Don't even show the Mac address of hackers,NEGATIVE
Unwanted device block garna milne hunu paryo,NEGATIVE
Why doesn't it send verification code to google account as fast as it does in mobile number? And also we can't add the NTC number starting from 97 as primary mobile number through Worldlink app... These two reasons disappointed me😔😔.plz fix these issue as fast as possible....,NEGATIVE
This net is so slow. We pay for 50 mbps and its provides us 5 mbps net service. 50 Mbps net doesnot work fast in 3 phone too. When i play game it goes high ping. This net is M....f.... always shows connection without internet sale game ko bicma tw testo problem naaaush yrr randiko bann worldlink sala khate jaile game ko bichma net janxa. Dhanyabad !,NEGATIVE
Although my wifi is connected Cannot see homescreen of this app  Says no internet connectivity,NEGATIVE
What problem Mac ID problem filter EK dam ghatiya app ho yo EK dam ghatiya AAP ani K lagi review mageko,NEGATIVE
Best 🖤🖤💸💸,POSITIVE
Wow nice app,POSITIVE
