cleaned_text,sentiment
excellent,POSITIVE
one best way handling wifi network application good worldlink team,POSITIVE
nice,POSITIVE
op,POSITIVE
far working good,POSITIVE
worst service among isp always delay solve problem,NEGATIVE
jasto net xa tastai ghatiya app pani xa,NEGATIVE
good experience,POSITIVE
ok okey,POSITIVE
upgrade,POSITIVE
update aayo tara kahi kaam chaina app banaunaya lai app ko problem ka cha thachaina jastho cha ki kyaa ho ki mobile linu paryo nokia 1110 ho ani thaha huncha ki problem app ko,NEGATIVE
waste time totally,NEGATIVE
app running long,NEGATIVE
doesnt open,NEGATIVE
worst worst worst,NEGATIVE
app isnt workingi lost password open app working,NEGATIVE
update app nai khuldaina mare ni password automatic pahileko vayo afule change nagarda ni,NEGATIVE
app doesnt open doesnt load main screen update jun 25 2023 pls fix,NEGATIVE
updatethe application working meannot opening,NEGATIVE
fast net,POSITIVE
worst app ever need reinstall everytime open doesnt open time,NEGATIVE
ok,POSITIVE
slow working need function,NEGATIVE
good service,POSITIVE
best know status internet internet subscription account,NEGATIVE
useless internet ever,NEGATIVE
great world link net good working network,POSITIVE
opps something went wrong,NEGATIVE
havent encountered major lengthy setbacks since day one wlink installation enjoying service 10 years,NEGATIVE
wonderfull,POSITIVE
pin khoi,POSITIVE
bad router performance,NEGATIVE
app stopped working last 3 days,NEGATIVE
poor service poor net speed,NEGATIVE
updated new version apps working fedup happening,POSITIVE
possibility give less slow vnekai world link plz use slogan suits,NEGATIVE
like service,POSITIVE
loading blank screen,NEGATIVE
good day day,POSITIVE
one best wifi service provider country,POSITIVE
worst app ever doesnt even load,NEGATIVE
like world links service,POSITIVE
servicr provider kind,POSITIVE
nice app,POSITIVE
many bugs whiteblack listing mac address doesnt work properly slow sometimes app doesnt open,NEGATIVE
worst,NEGATIVE
op,POSITIVE
worst net provider,NEGATIVE
randikoban net machine,NEGATIVE
minus rating would given offered scheme one month free 3 months payment done didnt added extra one month 3 months expired asked pay one month would add extra one month pay another one month still problem prevails also visited office several times didnt respond query irresponsible huge company,NEGATIVE
good,POSITIVE
amazing never seen type wireless fidelity,POSITIVE
hire good app developer optimize app slow buggy,POSITIVE
many glitches,NEGATIVE
nice,POSITIVE
support service quicker phone call,POSITIVE
nice,POSITIVE
cant provide new router even installing new connection bad service provider,NEGATIVE
worse experience ever,NEGATIVE
worst internet ever bought 78 mbps net provides 12 mbps dot buy world link,NEGATIVE
useless app working smoothly fell irritating using app works slowly think worldlink team experience technician,NEGATIVE
worst service provider worldlink never received call internet issues dont suggest worldlink anyone,NEGATIVE
reputative company nepal app slow saatisfied app experience,NEGATIVE
good,POSITIVE
app extremely slow takes 23 minutes open internet,NEGATIVE
good,POSITIVE
band steering button app workingpoease fix turn,NEGATIVE
internet slow app doesnt run loads loads fix app problem,NEGATIVE
shittest internet even call complain errors im facing would leave call dont respond suggest fall chitto bhanekai worldlink exact opposite statement dhila bhanekai worldlink,NEGATIVE
good,POSITIVE
fantastic,POSITIVE
working properly,POSITIVE
poor customer service,NEGATIVE
worst service daysshould call center almost daily restoration network hard operate laptop 3 mobileswould rate 0 possible,NEGATIVE
amazing app,POSITIVE
good internet always come minor problem cant solve need apologise thank,POSITIVE
bad app connect first time use 1 month speed slow fix 1month issu need speed fast like first time router bye speed,NEGATIVE
complaint dosenot take seriouslyits wrost service shifting,NEGATIVE
good,POSITIVE
kaso,POSITIVE
changing router 5g network internet became slower please fix soon possible,NEGATIVE
net tv functioning,POSITIVE
keep,POSITIVE
cant updated phone,POSITIVE
euta matrai device wifi connect huda ta slow xa chikne muji haru,NEGATIVE
good,POSITIVE
better,POSITIVE
sir net slow improve network network give good response,POSITIVE
good,POSITIVE
world link app functioning properly become logout automatically also people also login easy please try fix make system log one device somebody login need special code anything dont make system one device another device need permission wish us,NEGATIVE
app worthless internet trash thing app dissapoint us paying rs17000 isp trash think worldlink improve internet first promote trash app,NEGATIVE
loved,POSITIVE
muji poisa tw purai linxa tw net chai kina lado jasto bela bela matrai chalakoo,NEGATIVE
good,POSITIVE
poor internet terrible customer service,NEGATIVE
expensive,NEGATIVE
good service provider,POSITIVE
takes forever load working device android 12,NEGATIVE
good cant choose subscription time choose three month subscription despite wish app,NEGATIVE
awesome,POSITIVE
bad app channel management feature,NEGATIVE
open app happened,POSITIVE
useful app,POSITIVE
worst decision life choosing world link,NEGATIVE
worke,NEGATIVE
nice,POSITIVE
good,POSITIVE
easy informative,POSITIVE
app slow able open app since long time,NEGATIVE
geda jastooo xa net masale,NEGATIVE
bakwaste,NEGATIVE
scam,NEGATIVE
berry good app,POSITIVE
good,POSITIVE
prompt response,POSITIVE
app use full,POSITIVE
app haru features dinalai banauxa myworldink app features ghatauna lukauna banako rahexa slow app play store ko sab vanda khatam app,NEGATIVE
yasto jhur internet last date matra msg garx yasto offer testo offer vanera kasaile pani worldlink join na garnus,NEGATIVE
sabai ghateyaaa net,POSITIVE
good,POSITIVE
worst experience app slow doesnt even open times internet even worse wouldnt even like star complain,NEGATIVE
bad service,NEGATIVE
responding,POSITIVE
bhut karab hai,POSITIVE
cant loadopen app,NEGATIVE
nice app,POSITIVE
ankit,POSITIVE
super supup,NEGATIVE
kasto ghatiya app ho jahile kholeni khuldaina,NEGATIVE
stupid isp customer care whatsoever app slow like internet havent got good internet purchasing yearly package,NEGATIVE
best nepal yet,POSITIVE
one star world link already knew,POSITIVE
good app wold link,POSITIVE
great wold link wife net,NEGATIVE
easy use,POSITIVE
lovelllyyy,POSITIVE
good experience,POSITIVE
ok operate loyal customer would love suggest make world link 1 forever 1 plz ensure faster payment esewa well 2 would joyful using reward point topup payment via esewa reward point thanks,POSITIVE
nice,POSITIVE
app wont open,POSITIVE
sumit khaja ghar password change password 2222222222,NEGATIVE
app,POSITIVE
worst internet ever worst namsatey ever play game fps gone high one time thought destroy router humble request wld link team provide best internet service,NEGATIVE
world link wifi like ket world link app,NEGATIVE
good app,POSITIVE
overall good,POSITIVE
nice apps,POSITIVE
perfect service customers,POSITIVE
time wifi nt work changing password app,NEGATIVE
facing issues since couple days working perfectly,POSITIVE
good,POSITIVE
well better dicrease plan,NEGATIVE
give update,POSITIVE
damii,NEGATIVE
exalent,POSITIVE
super speed super lovely,POSITIVE
bad network provider dont use network,NEGATIVE
raughat ko garuda worldlink le thag ne garcha naam ko 100mbps dincha rs 1250 youtube video chal cha 240p360p always buffering videochor company tv add din cha rs 1200ma 200 mbpspahila subisu use gar thiyo 30mbps din thiyo jahile pani 720p1080p chal thiyo buffering worldlink ko naam dherai sune ko thiyo tesaile net jore chor company userchandan prasad sah,NEGATIVE
good,POSITIVE
good,POSITIVE
successfully uninstalled doest open s20 fe 5g android 12 gets stuck worldlink logo madarchod app,NEGATIVE
best internet mobile app asia vijitha fernando sri lanka aster innovations,POSITIVE
0rerty bad app,NEGATIVE
app opening,POSITIVE
worst customer service go hell world link esp narayangarh brach stuck service since three days response dont ever opt world link want steady network amiable customer servicee repairment problems arose,NEGATIVE
worst support birgunj branch recommend please dont use service worldlink online representative also responding vishes fpokr user id check many times raised tickets problem,NEGATIVE
good,POSITIVE
ok,POSITIVE
really best like,POSITIVE
app working,POSITIVE
service akdam best cha mero wire 3 fera kukur ley tokeyra bigardidah ni provide best service tyo ni free cost thank worldlink,POSITIVE
wow nice application,POSITIVE
good,POSITIVE
nice work,POSITIVE
disgusting app doesnt work properly progress always lacking plz stop stupid app,NEGATIVE
show detail installation date,POSITIVE
best,POSITIVE
good,POSITIVE
worst service 12 din vaisakyo tv jodna bolak aajhai aaunnw yesto net ni k kam,NEGATIVE
good,POSITIVE
good net,POSITIVE
good work,POSITIVE
app best internet worst nerver install wordlink wifi regret installed wifi worst always say interest connection dont dont mistake like install wifi worst useless wifi brand,NEGATIVE
world link useful app,POSITIVE
nepals no1 isp lot glitches isnt acceptable recently tried login didnt receive authentication code mobile router showing 245g together arent seperate ssids logged glitchy app option called band steering able change weather show ssid seperate ssid 24 5ghz guess wasnt able change getting alert nothing save try change,NEGATIVE
fix problem playing games ping highso hope worldlink fix problem,NEGATIVE
bad,NEGATIVE
good,POSITIVE
give rate poor connection improve service otherwise going disconnect world link connectionbecause nowadays worldlink making irritatedso please improve service,NEGATIVE
otp received app login,NEGATIVE
lot space improve app,POSITIVE
good im scared network change net password time,POSITIVE
worst service,NEGATIVE
bad network ever,NEGATIVE
dipsk verma,NEGATIVE
nice app,POSITIVE
get code number,NEGATIVE
app doesnt open,NEGATIVE
good,POSITIVE
get verification code world link app,NEGATIVE
worldlink worst decision ever taken slow internet connection takes lot time load videos datas,NEGATIVE
app stopped workingpassword k thyo herna paryo bhaneko khoi herna ni mildaina,NEGATIVE
worst decision ive ever made,NEGATIVE
useless app automatically logout login didnt send otp,NEGATIVE
app working trying change wifi password app opening,NEGATIVE
good services,POSITIVE
want tell one thing worldlink marketing scheme good,POSITIVE
lots bugsthey solve bugs one day dont care coz nepal,NEGATIVE
better math yesterday,POSITIVE
excellence,POSITIVE
worst internet connection dont recommend worldlink,NEGATIVE
randi ko chak jasto app aaja 20220427 yo gu app nakhuleko 5din vayo muji hru lai fb ig viber whatsapp sabai msg gare sabai bot matra bolxa aaba cg net halni ho,NEGATIVE
app best,POSITIVE
much improvement needed features concepts good needed work,POSITIVE
speed meter le 294 dekhauxa net dherai slow xa,NEGATIVE
worst internet ever,NEGATIVE
poor quality,NEGATIVE
much slow open app far internet speed dont provide half speed purchase taken 100 mb package 45mb actual,NEGATIVE
lasteii slow chalxa xya fogtya worldlink leko,NEGATIVE
good,POSITIVE
opening nepali unknown view internet network,NEGATIVE
nice speed,POSITIVE
super,POSITIVE
worldlink wife perfect gaming plz dont join network,NEGATIVE
th one worldlink east west worldlink best,POSITIVE
good,POSITIVE
faster networking,POSITIVE
nice,POSITIVE
good,POSITIVE
op,POSITIVE
user friendly simplicity key point whenever change network hidden quite difficult otherwise top notch,POSITIVE
service good,POSITIVE
connection slow hell stays buffering mode time called customer care would say pay money take 5g get better thing told fiber guessed business done good one,NEGATIVE
worst app experience please work app performance renposiveness,NEGATIVE
app opening idk frustrated,NEGATIVE
sub vanda lapabarha net kohiley najoda technical issues vayo vani 3 din poxi aauxa manxey,NEGATIVE
nice,POSITIVE
verry easy use,NEGATIVE
good network,POSITIVE
good service,POSITIVE
work sell numbers,POSITIVE
unable open app since 2 weeks quality becoming worse app user friendly,NEGATIVE
good,POSITIVE
app good time customer service bad bad theyll make angry pick phone keep hold balance finish didnt cut customer service im giving 1 star otherwise app good bad good talk nicely fix problem give 1 star nice,NEGATIVE
good,POSITIVE
useful,POSITIVE
worst decision choosed worldlink case internet network wanted change password since long time app worldlink even doesnt work official website worldlink also working facing alot problems worst customer care service ever face company thats make app work properly soon possible,NEGATIVE
love ly,POSITIVE
yo sometimes like internet available add whitelist device block add blacklist open like vip fix glitch many times internet avabile,NEGATIVE
world link worst net company world link net slow im playing game watching tik tok would advise fix net problem thanks,NEGATIVE
good,POSITIVE
good,POSITIVE
hello sir namaste good morning dendi sherpa kapan kathmandu,POSITIVE
cant get opened,NEGATIVE
think hearing users problem improve net issue say sorry apologize done soon dont face useless noet issue think pay nothing data far better net,NEGATIVE
yearly package users wifi sucks,NEGATIVE
slow download,NEGATIVE
wont able used device filtering feature customer support ticket used less get call 2 3 days ticket opening,POSITIVE
poor,NEGATIVE
new years ko wish garnu vanda net service ramro dine gar janta ko paisa khao xa ani net quaility chai zero chharate 0 dinu hunthyo tyo pane dherey hunxa,NEGATIVE
khate net ho yo,NEGATIVE
super,POSITIVE
excellent,POSITIVE
lowest internet connection,NEGATIVE
good,POSITIVE
disaster experience run online office work inside server annoying high ping frequent disconnection,NEGATIVE
worst wifi brought 5g router make speed internet fast go slow,NEGATIVE
responding tried 100 times,POSITIVE
thank wordlink,POSITIVE
like,POSITIVE
payment app shows change status account,NEGATIVE
nice,POSITIVE
easy use,POSITIVE
net fast,POSITIVE
good sometimes getting slow otherwise fine,POSITIVE
thank much,POSITIVE
slow net,NEGATIVE
tired service1 star rating also lot give going change connection next month,NEGATIVE
awesome,POSITIVE
worldlink refer internet service others refering customer get service extension staff working worldlink office get extended internet service instead refering customer,NEGATIVE
worst app plz update didnt get otp took 12days still,NEGATIVE
worst experience ever cant even task completely say look made changes connection getting worst cant surf properly internet connection problem,NEGATIVE
app doesnt run phone,NEGATIVE
good coverage good nettv pakeges good area free wifi myworldlink apps dont work,POSITIVE
like worldlink,POSITIVE
best,POSITIVE
worst service ever cant even restart router official app installed phone,NEGATIVE
babal,NEGATIVE
app working update,POSITIVE
worst internet connection biggest waste money biggest mistake life ever,NEGATIVE
slow net,NEGATIVE
2 mahina dekhi app khulekai xaina ta kasto bakwass hai,NEGATIVE
niceandbest,POSITIVE
good everything going fast,POSITIVE
happy,POSITIVE
app doesnt open response app try open app show white blank spacee sucks thing app,NEGATIVE
really best app keep contiue date,POSITIVE
wifi low speed heigh cost,NEGATIVE
good place get internet,POSITIVE
trash app,NEGATIVE
doesnt open bad app cant change password almost 6 months,NEGATIVE
good,POSITIVE
poor network facilities provide dont ever use world link network im also changing,NEGATIVE
world link cheater better avoid dis satisfied customer never response well cant talk supervisor problem,NEGATIVE
cant change wifi password wifi password change page goes blank,NEGATIVE
cant check wifi password app recent update worldlink knows useless time passes,NEGATIVE
worst net nepalkoiii pane nahalnu hola yooo net kaaam naiii xna yo mc net koiii paneee najodnu hoiiii plz kaaam xna yo net ko yo lutna aako net hoooo,NEGATIVE
network unstable,NEGATIVE
easy use high security,POSITIVE
awesome,POSITIVE
good,POSITIVE
please add wifi channel selection,NEGATIVE
option degrading minus rating go coz im unsatisfied networking issues,NEGATIVE
yo app kina ani kasle banako kabaadi app binakaamko app features kehi xaina routerma vaekoni use garna napaune tait yo app le garda worldlinkko internet hataera arko jodna man lagyo 3 years dekhi kabadi app dekhera rish uthisakyo malaita,NEGATIVE
slowest apps google play store,NEGATIVE
good,POSITIVE
app working,POSITIVE
sometimes slow,NEGATIVE
third class app working mobile complain many time problem fix,NEGATIVE
slow connection without inform quickly phone response,NEGATIVE
best app,POSITIVE
ever since upgraded range jhan po slo bhako chha wifi ta mbps badhako ta matlab nai bhayena ta opposite chhito bhanekaii worldlink app khulna ni etii time lagchha kii plz something kasari k hunchha paisa gaye anusar wifi ramro hunu nii,NEGATIVE
app usually doesnt even work,NEGATIVE
good,POSITIVE
want give app zero rating,NEGATIVE
best app,POSITIVE
good,POSITIVE
ope,POSITIVE
app doesnt load phone keep loading solve issue soon possible,NEGATIVE
worst frustrating app ever always take long time open,NEGATIVE
worst app ever need doesnt open,NEGATIVE
buged app bug pubg,NEGATIVE
good,POSITIVE
per want,POSITIVE
randi ko choro ra choro haru developer chimney muji k torpe app banako internet usage aaile samma fix gareko chaina sab ramro developers bidesh gayeko natija ho yo,NEGATIVE
good net,POSITIVE
awesome,POSITIVE
boring internet service waste money slow short area range show running speed 50mbps working properly,NEGATIVE
good,POSITIVE
good,POSITIVE
badyeta le chalaira ho natra slow kei khuldaina yr guess worldlink focus also,NEGATIVE
worst internet,NEGATIVE
much better,POSITIVE
useful app users bit slower though,NEGATIVE
nice,POSITIVE
good show mobile name along ip address blocked list please,NEGATIVE
good myworldlink ok network,POSITIVE
nice app change password,POSITIVE
work good,POSITIVE
worst app customer work,NEGATIVE
good,POSITIVE
excellent service,POSITIVE
connected device found,POSITIVE
worst wifi ever ive used whole life first 12 month subscription quite fine 20 mbps ive changed 80 mbps 4 times greater cant even play youtube video properly worst wifi experience ever never recommend anyone reader ever join wifi,NEGATIVE
nice help full apps,POSITIVE
good,POSITIVE
nic,POSITIVE
slow network myworldlink app work time,NEGATIVE
worst internet service,NEGATIVE
good,POSITIVE
scam puts virus device plese delete,NEGATIVE
best app ever useful,POSITIVE
thats awesome,POSITIVE
poor customer service facilities,NEGATIVE
good,POSITIVE
decent app,POSITIVE
good,POSITIVE
good,POSITIVE
world link poot internet,NEGATIVE
money focused app,POSITIVE
app improving,POSITIVE
poor app always failed communicate device need internet open app useless app slow,NEGATIVE
app dummy app nothing doesnt work people saw app everybody think provide us features make confuse make difficult use system feature happy brand,NEGATIVE
thik xa,POSITIVE
worst internet service every timr 600 400 ms playing,NEGATIVE
bad internet connection,NEGATIVE
best internet service rovider app helpful well,POSITIVE
mkhalidmazan,POSITIVE
net really slow gaming,NEGATIVE
poor,NEGATIVE
havent able open app since last update tech team seriously need improve capacity even star rate,NEGATIVE
today 17th march see data usage 1st march cant see last 7 days data usagewlink must fix,NEGATIVE
working opening,POSITIVE
thank,POSITIVE
simple wifi,POSITIVE
worldlink used best isp customer 5 years facing worst experience ever slow internet constant disconnections installing 5g router myworldlink app also working asking us switch isp,NEGATIVE
good,POSITIVE
call csd 10 times shifting location receive response waiting reinstallation since 2 months without positive outcome regular customer since past 3 yrs,NEGATIVE
excellent,POSITIVE
disgusting service surkhet branch,NEGATIVE
good,POSITIVE
app opening nothing showing could device fixed,NEGATIVE
enticing,POSITIVE
biggest mistake ever sab vanda worst service ho im tired calling customer care creating tickets 3 week internet issue deactivating service thank wordlink,NEGATIVE
good,POSITIVE
nice,POSITIVE
worst service ever nepal banned nepal service haulted period come new techs reach claim give costumers also hire healthy workers genuinely try solve costumers issues rather taunting,NEGATIVE
app doesnt even open gets stuck start,NEGATIVE
worst internet ever,NEGATIVE
hi worst app usually deletes name mac filter difficult recognize device mac id update soon,NEGATIVE
worst experience support make many calls one supported u help ur clent time required u loose faith,NEGATIVE
changing password working well trash isp,NEGATIVE
goo ho yo goo ho pubg 60 ping kahile aayena regular ping 100 goo vanekai worldlink,NEGATIVE
hahahaha,POSITIVE
application opening,POSITIVE
k ho muji call garnai patney muji muji muji vnana maan xiana tara control vayena muji worldlink,NEGATIVE
worst management,NEGATIVE
working customer attraction working night time day time also,POSITIVE
bad,NEGATIVE
network strong used,POSITIVE
poor,NEGATIVE
wow,POSITIVE
app takes much time load many features like black listingwhite listing device filtration doesnt work,NEGATIVE
excellent connection,POSITIVE
worst app ever really frustrating use useless,NEGATIVE
worst isp worst service dont use service u regret,NEGATIVE
im regret im choose worldlink,NEGATIVE
nice fast internet service,POSITIVE
good,POSITIVE
fed service response wan na go legal action,NEGATIVE
fuing mad,NEGATIVE
sapai thik ho game khelda ping kaam aune k,NEGATIVE
good network,POSITIVE
dont even bother installing useless trash,NEGATIVE
speeach less,NEGATIVE
slow n connection problem poor user,NEGATIVE
good,POSITIVE
worst ner ever plz dont use net,NEGATIVE
customer service afno option rakhna milne ni rakhnus app banako rey app bata nai lekherw report garna na milne chimeki ko nai wifi fst xa yo bhanda,NEGATIVE
poor,NEGATIVE
myworldlink help issuing tickets always get response worldlink cant view internate usages datarecords,NEGATIVE
good,POSITIVE
good app use,POSITIVE
slow,NEGATIVE
internet speed much better providers,NEGATIVE
im new user dont know,NEGATIVE
useless always slow app 0,NEGATIVE
wrost net ever seen experience 0 rating,NEGATIVE
one best isp nepal service really nice keep,POSITIVE
nice,POSITIVE
usage data doesnt shownot good app,NEGATIVE
good,POSITIVE
disgusting network seen till date ask experience suggest dont join worldlink,NEGATIVE
worst net internet sped slow,NEGATIVE
tried restart router hundred times didnt work cant fix delete option,NEGATIVE
sarojmahato,POSITIVE
good use gives good bandwidth,POSITIVE
good experiencecan monitor devices lot features,POSITIVE
superb,POSITIVE
net slow working hours,NEGATIVE
please dont take worldlink internet services worst customer support services using past 7 years going dont think taking service please dont waste money time,NEGATIVE
good,POSITIVE
internet slow upload,NEGATIVE
stop sending stupid ads notification,NEGATIVE
milne vaye negative star dinthye wrost net ever,NEGATIVE
slow net nothing says faster,NEGATIVE
like wifi,POSITIVE
poor service,NEGATIVE
lado jasto net machikney randikoban haru yetropaisakhanxa randi net dinxa chikney machikney lado kha randikoban world link,NEGATIVE
machikney worldlink net tw ramro day randi ko baan haru,NEGATIVE
bastd worldlink would cut connection expiressee similar response side,NEGATIVE
bekar net xali rhexxa,POSITIVE
give 1 month free wifi,POSITIVE
nice,POSITIVE
nice jobtremendush job,POSITIVE
slow net even cant open app irritating really want punch face broke nose change slogan xitoo vanekai worldlink dhilo vanekai worldlink want money right time cant provide good network bad service even dont recive ph call idiot guys recommed choose network,NEGATIVE
strict fair use policy customer also limitation push notification worldink worldlink also intentionally slow internet due date 10 days,NEGATIVE
world link good use,POSITIVE
good,POSITIVE
good,POSITIVE
please update fup section doesnt show daily usage,NEGATIVE
excellent features,POSITIVE
sure experience new,POSITIVE
worse app properly working,NEGATIVE
excellent,POSITIVE
aalu jasto worldlink wifi yesto pani hunxa router change garna ni paisa lagxare 2850 ani paxi router pani firta lagnere xutauda chor worldlink laj lagdaina,NEGATIVE
good net worldlink poor signal,NEGATIVE
app doesnot opens download,POSITIVE
doesnt open,NEGATIVE
gu jasto net,POSITIVE
full glitches never show proper internet speed test yeah improvent network,NEGATIVE
services late,NEGATIVE
nice,POSITIVE
worldlink worst net really sucks nowadays pretty good back really trash,NEGATIVE
app doesnot open,POSITIVE
shirsti bhujel world link,POSITIVE
bakwas,NEGATIVE
good,POSITIVE
net slow even wifi speed is40mbps never works main point internet slow worldlink app also doesnt work,NEGATIVE
need better isp,NEGATIVE
poor response,NEGATIVE
amazing,POSITIVE
pay 60mbs got 5 10 mbs download speed 20 400kbs,NEGATIVE
im much satisfied app solves problems one way,POSITIVE
good quality net work,POSITIVE
perfect service,POSITIVE
ohh delete comments also,NEGATIVE
app doesnt work,NEGATIVE
world link,POSITIVE
exelent service,POSITIVE
nice,POSITIVE
dhilo bhaneko nai worldlink,POSITIVE
poor service late service deliveryspeed seen advertisement youtube good games others,NEGATIVE
nice,POSITIVE
love app easy use also,POSITIVE
let change password view connected devices mac filter call giving control app cover letting us router access cant login router page configure advance features like port forwarding ip filtering changing router channel many would recommend new user choose isp want feature,NEGATIVE
thikai xa,POSITIVE
open app,POSITIVE
thank world link best enternet service nepal,POSITIVE
khatam ko ne khatam yar yeo worldlink ta mailea ghar purano user ho naya jodna atea ko wota bata call ayeo marketing bata mailea refer gare halum ke pachi bhane ko pachi garda ne huncha bhaneo mailea yeo mero id ho yesma refer gare ne bhane kai chaina pachi garda ne huncha bahne last mailea refer paina yesto muji refer refer bhane ra na chamakao muji manchea lye na bekar jode ko staff ko galte lea garda mailea dukha payea aba time pugos deposit nekale ra vionet jodchu koilye ne na jod b,NEGATIVE
app doesnt open wanted change password world link app doesnt open long time uninstall reinstall every single time,NEGATIVE
cant sign log frustrating,NEGATIVE
features like safe net customer attraction purpose working gave one star isp clever dont give exact speed worst connection facing issue 45 months context nepal every time need hit foreign server every browsing need better international speed however dont provide recommend new users another isp choice,NEGATIVE
great app secure safe ur internet connection,POSITIVE
halka bela bela ping high khanxa aru sab tik xa,NEGATIVE
xito nai worldlink,POSITIVE
give five star worldlink fastest internet personal experience,POSITIVE
working properly worst app ever used,NEGATIVE
mind blowing,POSITIVE
bad,NEGATIVE
excellent,POSITIVE
doesnt show internet usage,NEGATIVE
good working,POSITIVE
app open ages able login via app,POSITIVE
good,POSITIVE
way stop sales pitches dont want messages popping often 2 message stop everyone includes ways turn notifications,NEGATIVE
app gets logged automatically happens time,NEGATIVE
whats happening world link though upgraded 20 80 mbps internet still working slow,NEGATIVE
internet alright control net fluctuation better service provide channels like ten sports star sports aaj tak bbc many channels nettv nettv app get 5 stars,NEGATIVE
wrost,NEGATIVE
badnet also app also,NEGATIVE
badbetter use vianet,NEGATIVE
excellent helpful,POSITIVE
think good appit shows details wifi,POSITIVE
app khuldaina,POSITIVE
slow vanekai worldlink ho,NEGATIVE
xito vanekai world link slogan doesnt suitable world link kabadi net yo vanda ta adsl nai ramro xa,NEGATIVE
3rd class net muji haru paisa chai mahango khate haru net chai gu jasto dinxan,NEGATIVE
good,POSITIVE
awesome,POSITIVE
opps worldlink app opening visit office small matter pls fix bugs,NEGATIVE
slow think 1 mahina maa 10 din tw kaile net ja chaldena ki nai vani slow ja hunxa hola hope understand please solve problem soon possible data kholera review dina parni vaisakyo situation pani,NEGATIVE
even logging,NEGATIVE
cant disable band steering,NEGATIVE
give pin code plz,NEGATIVE
dont known 25 mbps net runs 5mbps username deuti s,NEGATIVE
love good app,POSITIVE
good,POSITIVE
nice,POSITIVE
shity internet app ive ever usedi wanted report slow connection problem internet using app like internet speedcant even load app even 120 mbpsdont use app guys weast time,NEGATIVE
app working internet cant even open app,NEGATIVE
loading doesnot open app,POSITIVE
uselees,NEGATIVE
app opening,POSITIVE
kasto ganta kasto net ho 30mbps huda thikai chalne net 150mbps lida xeu na tuppoko muzii,NEGATIVE
slw,NEGATIVE
happy,POSITIVE
app use better tech developer team,NEGATIVE
nice,POSITIVE
khoi tah world link ko app nai khuldainah tahk vako,NEGATIVE
bad,NEGATIVE
qr code hide please everything good worldlink,POSITIVE
give one star rating internet provider think internet provider one worlds internet providers available internet provider doesnt meet necessity completely useless like dont get much data promised internet speed slow opinion many good internet providers available,NEGATIVE
world link wifi good,POSITIVE
love app,POSITIVE
nice app world link wifi,POSITIVE
developers yo app fix gardinu hai chaado galaxy a21s chai chaldaina aile ta website ni chaliraxaina kasari chai kaam garne ho k esari,NEGATIVE
worst slowest internet ever,NEGATIVE
extremely slow internet ive ever knowni literally wait hour download certain documentnot satisfied,NEGATIVE
best app downloaded criticism got bad rating opinion best internet provider platform,NEGATIVE
hello sir worldlink app doesnot open mobile,NEGATIVE
app working mobile,POSITIVE
wrost internet experience isp,NEGATIVE
apps may good,POSITIVE
even open,POSITIVE
app working,POSITIVE
world link best service,POSITIVE
damii application,NEGATIVE
dilo vanekai world link ho,POSITIVE
good,POSITIVE
poor support,NEGATIVE
worst net ever,NEGATIVE
doesnt work app simply stopped loading beyond splash screen huawei p20 pro uninstalled reinstalled luck huge company sure seen terrible qa process apps website online communications general,NEGATIVE
worldlink worst internet connection ever nepal slow use data even wifi recommend use connection ever,NEGATIVE
app stopped working,NEGATIVE
worldlink customer care ko number 1 hafta bata busy ko busy cha ta trying get tara always busy first time disappointed worldlink,NEGATIVE
poor connection,NEGATIVE
change wifi password worse app,NEGATIVE
hell app opening service providing us please fix bug asap need change service totally disappointed better need come office small problem great service,NEGATIVE
tw randi ko xoraa haru laii ramro sga wifi ko service dina audena bnee gayerww ghr bada majerw bas,NEGATIVE
app slow takes lot time load,NEGATIVE
best app,POSITIVE
good,POSITIVE
extremely slow wifi,NEGATIVE
worst,NEGATIVE
nice app,POSITIVE
slowly,NEGATIVE
worst net never check fixed problem internet speed slow,NEGATIVE
slow internet expensive every year keeps closing ticket even solved deletes reviews google,NEGATIVE
huu,NEGATIVE
yo app ajhai kam baki bhayako mahasus garchu tw,NEGATIVE
since cg came market worldlink really good lag smooth connection,POSITIVE
worst application app working since 15 days,NEGATIVE
found worst experience using worldlink neither fix problem app working properly guess change internet waste money,NEGATIVE
app nai khuldaina ta hau white screen loading maa adkinxa,NEGATIVE
scammer,NEGATIVE
middle finger salute continued network connection goes within every 10 mins cant survice provider find problems r totally disappointed,NEGATIVE
excellent internet provider thanks effort,POSITIVE
cuz didnt update app doesnt mean log fix,NEGATIVE
app workingeven doesnt start worst service ever,NEGATIVE
horrible experience,NEGATIVE
good,POSITIVE
app wonderfull appwe pay home net issue directly send mail satisfy us certain minute time thanks caring us much,POSITIVE
havent get update connection filtering option problem fix,NEGATIVE
app doesnt work internet restarting router becomes problem decieved bandwith say speed 200mbps nowere close 5mbps,NEGATIVE
esewa tubemate ani maile khelne games pani ramro sanga chaldaina speed test chai perform garxa maile paisa tirekai speed test garna matra ho may good job world link yo review pani maile data garera lekhirako xu ani customer supportle phone uthako ho ki ghanti gako ring nai maile nasuneko ho thaha paudina aah vann k bo samma pani kosaile vandaina hello ta para jaos,NEGATIVE
dont used worldlink backoffworldlink,NEGATIVE
worst decision install network disappointed contact always respond saying reboost router also never help worst network service ever,NEGATIVE
